school, address
"47 The American Sign Language and English Secondary School", "223 EAST 23 STREET MANHATTAN, NY 10010"
"ACORN Community High School", "561 GRAND AVENUE BROOKLYN, NY 11238"
"Andries Hudde", "2500 NOSTRAND AVENUE BROOKLYN, NY 11210"
"Aspirations Diploma Plus High School", "402 EASTERN PARKWAY BROOKLYN, NY 11225"
"Automotive High School", "50 BEDFORD AVENUE BROOKLYN, NY 11222"
"Aviation Career & Technical Education High School", "45-30 36 STREET QUEENS, NY 11101"
"BATTERY PARK CITY SCHOOL", "55 BATTERY PLACE MANHATTAN, NY 10280"
"Bayside High School", "32-24 CORPORAL KENNEDY STREET QUEENS, NY 11361"
"Benjamin N. Cardozo High School", "57-00 223RD STREET BAYSIDE, NY 11364"
"Brighter Choice Community School", "280 HART STREET BROOKLYN, NY 11206"
"Bronx Alliance Middle School", "3750 BAYCHESTER AVENUE BRONX, NY 10466"
"Bronx Arena High School", "1440 STORY AVENUE BRONX, NY 10473"
"Bronx High School for the Visual Arts", "2040 ANTIN PL BRONX, NY 10462"
"Bronx Leadership Academy High School", "1710 WEBSTER AVENUE BRONX, NY 10457"
"Bronx Regional High School", "1010 REV. J. A. POLITE AVENUE BRONX, NY 10459"
"Bronx Studio School for Writers and Artists", "928 SIMPSON STREET BRONX, NY 10459"
"Brooklyn Arbor Elementary School", "325 SOUTH 3 STREET BROOKLYN, NY 11211"
"Brooklyn College Academy - Bridge to Brooklyn", "350 CONEY ISLAND AVENUE BROOKLYN, NY 11218"
"Brooklyn Landmark Elementary School", "251 MAC DOUGAL STREET BROOKLYN, NY 11233"
"Central Park East High School", "1573 MADISON AVENUE MANHATTAN, NY 10029"
"Cobble Hill School of American Studies", "347 BALTIC STREET BROOKLYN, NY 11201"
"College Point Collaborative", "12406 14TH AVENUE QUEENS, NY 11356"
"Collegiate Institute for Math and Science", "925 ASTOR AVENUE BRONX, NY 10469"
"Community Health Academy of the Heights", "504 WEST 158TH STREET MANHATTAN, NY 10032"
"Community Voices Middle School", "145-00 SPRINGFIELD BOULEVARD QUEENS, NY 11413"
"Crotona International High School", "2474 CROTONA AVENUE BRONX, NY 10458"
"Curtis High School", "105 HAMILTON AVENUE STATEN ISLAND, NY 10301"
"EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE", "605 SHEPHERD AVENUE BROOKLYN, NY 11208"
"Eagle Academy for Young Men", "4143 THIRD AVENUE BRONX, NY 10457"
"East Flatbush Community Research School", "905 WINTHROP STREET BROOKLYN, NY 11203"
"Elementary School for Math, Science, and Technology", "125 EAST 181 STREET BRONX, NY 10453"
"Evergreen M.S. for Urban Exploration", "125 COVERT STREET BROOKLYN, NY 11207"
"Eximius College Preparatory Academy: A College Board School", "1363 FULTON AVENUE BRONX, NY 10456"
"Expeditionary Learning School for Community Leaders", "2630 BENSON AVENUE BROOKLYN, NY 11214"
"Fairmont Neighborhood School", "1550 VYSE AVENUE BRONX, NY 10460"
"Fannie Lou Hamer Freedom High School", "1021 JENNINGS STREET BRONX, NY 10460"
"Fort Hamilton High School", "8301 SHORE ROAD BROOKLYN, NY 11209"
"Franklin Delano Roosevelt High School", "5800 20 AVENUE BROOKLYN, NY 11204"
"Frederick Douglass Academy", "2581 7TH AVENUE MANHATTAN, NY 10039"
"GRANT AVENUE ELEMENTARY SCHOOL", "250 EAST 164 STREET BRONX, NY 10456"
"Goldie Maple Academy", "3-65 BEACH 56 STREET QUEENS, NY 11692"
"Gregory Jocko Jackson School of Sports, Art and Technology (The)", "213 OSBORN STREET BROOKLYN, NY 11212"
"Harlem Renaissance High School", "22 EAST 128 STREET MANHATTAN, NY 10035"
"Harry S Truman High School", "750 BAYCHESTER AVENUE BRONX, NY 10475"
"High School for Environmental Studies", "444 WEST 56 STREET MANHATTAN, NY 10019"
"High School for Law, Advocacy and Community Justice", "122 AMSTERDAM AVENUE MANHATTAN, NY 10023"
"High School for Public Service: Heroes of Tomorrow", "600 KINGSTON AVENUE BROOKLYN, NY 11203"
"High School of World Cultures", "1300 BOYNTON AVENUE BRONX, NY 10472"
"Hillcrest High School", "160-05 HIGHLAND AVENUE QUEENS, NY 11432"
"I.S. 024 Myra S. Barnes", "750 DURANT AVENUE STATEN ISLAND, NY 10308"
"I.S. 027 Anning S. Prall", "11 CLOVE LAKE PLACE STATEN ISLAND, NY 10310"
"I.S. 059 Springfield Gardens", "132-55 RIDGEDALE STREET QUEENS, NY 11413"
"I.S. 061 Leonardo Da Vinci", "98-50 50 AVENUE QUEENS, NY 11368"
"I.S. 068 Isaac Bildersee", "956 EAST 82 STREET BROOKLYN, NY 11236"
"I.S. 072 Rocco Laurie", "33 FERNDALE AVENUE STATEN ISLAND, NY 10314"
"I.S. 093 Ridgewood", "66-56 FOREST AVENUE QUEENS, NY 11385"
"I.S. 117 Joseph H. Wade", "1865 MORRIS AVENUE BRONX, NY 10453"
"I.S. 125 Thom J. McCann Woodside", "46-02 47 AVENUE QUEENS, NY 11377"
"I.S. 136 Charles O. Dewey", "4004 4 AVENUE BROOKLYN, NY 11232"
"I.S. 141 The Steinway", "37-11 21 AVENUE QUEENS, NY 11105"
"I.S. 171 Abraham Lincoln", "528 RIDGEWOOD AVENUE BROOKLYN, NY 11208"
"I.S. 211 John Wilson", "1001 EAST 100 STREET BROOKLYN, NY 11236"
"I.S. 219 New Venture School", "3630 THIRD AVENUE BRONX, NY 10456"
"I.S. 228 David A. Boody", "228 AVENUE S BROOKLYN, NY 11223"
"I.S. 229 Roland Patterson", "275 HARLEM RIVER PARK BRIDGE BRONX, NY 10453"
"I.S. 237", "46-21 COLDEN STREET QUEENS, NY 11355"
"I.S. 238 - Susan B. Anthony Academy", "88-15 182 STREET QUEENS, NY 11423"
"I.S. 281 Joseph B Cavallaro", "8787 24 AVENUE BROOKLYN, NY 11214"
"I.S. 285 Meyer Levin", "5909 BEVERLY ROAD BROOKLYN, NY 11203"
"I.S. 30 Mary White Ovington", "7002 4TH AVENUE BROOKLYN, NY 11209"
"I.S. 303 Herbert S. Eisenberg", "501 WEST AVENUE BROOKLYN, NY 11224"
"I.S. 318 Eugenio Maria De Hostos", "101 WALTON STREET BROOKLYN, NY 11206"
"I.S. 340", "227 STERLING PLACE BROOKLYN, NY 11238"
"I.S. 347 School of Humanities", "35 STARR STREET BROOKLYN, NY 11221"
"I.S. 49 Berta A. Dreyfus", "101 WARREN STREET STATEN ISLAND, NY 10304"
"I.S. 528 Bea Fuller Rodgers School", "180 WADSWORTH AVENUE MANHATTAN, NY 10033"
"I.S. 98 Bay Academy", "1401 EMMONS AVENUE BROOKLYN, NY 11235"
"I.S. R002 George L. Egbert", "333 MIDLAND AVENUE STATEN ISLAND, NY 10306"
"International HS at Lafayette", "2630 BENSON AVENUE BROOKLYN, NY 11214"
"International School for Liberal Arts", "2780 RESERVOIR AVENUE BRONX, NY 10468"
"Irwin Altman Middle School 172", "81-14 257 STREET QUEENS, NY 11004"
"J.H.S. 008 Richard S. Grossley", "108-35 167 STREET QUEENS, NY 11433"
"J.H.S. 050 John D. Wells", "183 SOUTH 3 STREET BROOKLYN, NY 11211"
"J.H.S. 052 Inwood", "650 ACADEMY STREET MANHATTAN, NY 10034"
"J.H.S. 054 Booker T. Washington", "103 WEST 107 STREET MANHATTAN, NY 10025"
"J.H.S. 057 Whitelaw Reid", "125 STUYVESANT AVENUE BROOKLYN, NY 11221"
"J.H.S. 062 Ditmas", "700 CORTELYOU ROAD BROOKLYN, NY 11218"
"J.H.S. 078 Roy H. Mann", "1420 EAST 68 STREET BROOKLYN, NY 11234"
"J.H.S. 098 Herman Ridder", "1619 BOSTON ROAD BRONX, NY 10460"
"J.H.S. 104 Simon Baruch", "330 EAST 21 STREET MANHATTAN, NY 10010"
"J.H.S. 123 James M. Kieran", "1025 MORRISON AVENUE BRONX, NY 10472"
"J.H.S. 127 The Castle Hill", "1560 PURDY STREET BRONX, NY 10462"
"J.H.S. 131 Albert Einstein", "885 BOLTON AVENUE BRONX, NY 10473"
"J.H.S. 143 Eleanor Roosevelt", "511 WEST 182ND STREET MANHATTAN, NY 10033"
"J.H.S. 144 Michelangelo", "2545 GUNTHER AVENUE BRONX, NY 10469"
"J.H.S. 189 Daniel Carter Beard", "144-80 BARCLAY AVENUE QUEENS, NY 11355"
"J.H.S. 201 The Dyker Heights", "8010 12 AVENUE BROOKLYN, NY 11228"
"J.H.S. 202 Robert H. Goddard", "138-30 LAFAYETTE STREET QUEENS, NY 11417"
"J.H.S. 210 Elizabeth Blackwell", "93-11 101 AVENUE QUEENS, NY 11416"
"J.H.S. 218 James P. Sinnott", "370 FOUNTAIN AVENUE BROOKLYN, NY 11208"
"J.H.S. 220 John J. Pershing", "4812 9TH AVENUE BROOKLYN, NY 11220"
"J.H.S. 227 Edward B. Shallow", "6500 16 AVENUE BROOKLYN, NY 11204"
"J.H.S. 234 Arthur W. Cunningham", "1875 EAST 17 STREET BROOKLYN, NY 11229"
"J.H.S. 259 William Mckinley", "7305 FT HAMILTON PARKWAY BROOKLYN, NY 11228"
"J.H.S. 278 Marine Park", "1925 STUART STREET BROOKLYN, NY 11229"
"J.H.S. 291 Roland Hayes", "231 PALMETTO STREET BROOKLYN, NY 11221"
"J.H.S. 292 Margaret S. Douglas", "301 VERMONT STREET BROOKLYN, NY 11207"
"James Madison High School", "3787 BEDFORD AVENUE BROOKLYN, NY 11229"
"James Weldon Johnson", "176 EAST 115 STREET MANHATTAN, NY 10029"
"John Dewey High School", "50 AVENUE X BROOKLYN, NY 11223"
"Jonas Bronck Academy", "400 EAST FORDHAM ROAD BRONX, NY 10458"
"Life Sciences Secondary School", "320 EAST 96 STREET MANHATTAN, NY 10128"
"Locke School of Arts and Engineering (The)", "20 WEST 112 STREET MANHATTAN, NY 10026"
"M.S. 061 Dr. Gladstone H. Atwell", "400 EMPIRE BOULEVARD BROOKLYN, NY 11225"
"M.S. 113 Ronald Edmonds Learning Center", "300 ADELPHI STREET BROOKLYN, NY 11205"
"M.S. 131", "100 HESTER STREET MANHATTAN, NY 10002"
"M.S. 137 America's School of Heroes", "109-15 98 STREET QUEENS, NY 11417"
"M.S. 158 Marie Curie", "46-35 OCEANIA STREET QUEENS, NY 11361"
"M.S. 180 Dr. Daniel Hale Williams", "700 BAYCHESTER AVENUE BRONX, NY 10475"
"M.S. 260 Clinton School Writers & Artists", "10 East 15th Street MANHATTAN, NY 10003"
