"47 The American Sign Language and English Secondary School","223 EAST 23 STREET MANHATTAN, NY 10010",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"ACORN Community High School","561 GRAND AVENUE BROOKLYN, NY 11238",40.678651,-73.961911,1,rooftop,561,"Grand Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"Andries Hudde","2500 NOSTRAND AVENUE BROOKLYN, NY 11210",40.623753,-73.946487,1,rooftop,2500,"Nostrand Ave",Brooklyn,NY,"Kings County",11210,US,"City of New York"
"Aspirations Diploma Plus High School","402 EASTERN PARKWAY BROOKLYN, NY 11225",40.669717,-73.955112,1,rooftop,402,"Eastern Pkwy",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"Automotive High School","50 BEDFORD AVENUE BROOKLYN, NY 11222",40.722244,-73.953291,1,rooftop,50,"Bedford Ave",Brooklyn,NY,"Kings County",11222,US,"City of New York"
"Aviation Career & Technical Education High School","45-30 36 STREET QUEENS, NY 11101",40.743581,-73.929218,1,rooftop,45-30,"36th St","Long Island City",NY,"Queens County",11101,US,"City of New York"
"BATTERY PARK CITY SCHOOL","55 BATTERY PLACE MANHATTAN, NY 10280",40.706368,-74.017653,1,rooftop,55,"Battery Pl","New York",NY,"New York County",10280,US,"City of New York"
"Bayside High School","32-24 CORPORAL KENNEDY STREET QUEENS, NY 11361",40.771495,-73.780689,1,rooftop,32-24,"Corporal Kennedy St",Bayside,NY,"Queens County",11361,US,"City of New York"
"Benjamin N. Cardozo High School","57-00 223RD STREET BAYSIDE, NY 11364",40.751844,-73.755909,1,rooftop,57-,"223rd St","Oakland Gardens",NY,"Queens County",11364,US,"City of New York"
"Brighter Choice Community School","280 HART STREET BROOKLYN, NY 11206",40.693964,-73.940769,1,rooftop,280,"Hart St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"Bronx Alliance Middle School","3750 BAYCHESTER AVENUE BRONX, NY 10466",40.886044,-73.840577,1,rooftop,3750,"Baychester Ave",Bronx,NY,"Bronx County",10466,US,"City of New York"
"Bronx Arena High School","1440 STORY AVENUE BRONX, NY 10473",40.821113,-73.880582,1,rooftop,1440,"Story Ave",Bronx,NY,"Bronx County",10473,US,"City of New York"
"Bronx High School for the Visual Arts","2040 ANTIN PL BRONX, NY 10462",40.851544,-73.864696,1,rooftop,2040,"Antin Pl",Bronx,NY,"Bronx County",10462,US,"City of New York"
"Bronx Leadership Academy High School","1710 WEBSTER AVENUE BRONX, NY 10457",40.843403,-73.903135,1,rooftop,1710,"Webster Ave",Bronx,NY,"Bronx County",10457,US,"City of New York"
"Bronx Regional High School","1010 REV. J. A. POLITE AVENUE BRONX, NY 10459",40.825629,-73.893605,0.33,place,,,Bronx,NY,"Bronx County",10459,US,"TIGER/Line® dataset from the US Census Bureau"
"Bronx Studio School for Writers and Artists","928 SIMPSON STREET BRONX, NY 10459",40.820451,-73.893111,1,rooftop,928,"Simpson St",Bronx,NY,"Bronx County",10459,US,"City of New York"
"Brooklyn Arbor Elementary School","325 SOUTH 3 STREET BROOKLYN, NY 11211",40.709787,-73.954718,1,rooftop,325,"S 3rd St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"Brooklyn College Academy - Bridge to Brooklyn","350 CONEY ISLAND AVENUE BROOKLYN, NY 11218",40.64918,-73.971859,1,rooftop,350,"Coney Island Ave",Brooklyn,NY,"Kings County",11218,US,"City of New York"
