school,address,latitude,longitude
47 The American Sign Language and English Secondary School,"223 E 23rd St, New York, NY 10010, USA",40.7387769,-73.9814014
ACORN Community High School,"561 Grand Ave, Brooklyn, NY 11238, USA",40.6785204,-73.9617427
Andries Hudde,"2500 Nostrand Ave, Brooklyn, NY 11210, USA",40.6239694,-73.9470955
Aspirations Diploma Plus High School,"402 Eastern Pkwy, Brooklyn, NY 11225, USA",40.6694696,-73.9552235
Automotive High School,"50 Bedford Ave, Brooklyn, NY 11222, USA",40.7220162,-73.9538965
Aviation Career & Technical Education High School,"45-30 36th St, Long Island City, NY 11101, USA",40.743581,-73.9292176
BATTERY PARK CITY SCHOOL,"55 Battery Pl, New York, NY 10280, USA",40.70656290000001,-74.0175278
Bayside High School,"32-24 Corporal Kennedy St, Bayside, NY 11361, USA",40.771482,-73.78080709999999
Benjamin N. Cardozo High School,"57-00 223rd St, Bayside, NY 11364, USA",40.7524027,-73.7571324
Brighter Choice Community School,"280 Hart St, Brooklyn, NY 11206, USA",40.69376099999999,-73.9407122
Bronx Alliance Middle School,"3750 Baychester Ave, The Bronx, NY 10466, USA",40.8843152,-73.8397468
Bronx Arena High School,"1440 Story Ave, The Bronx, NY 10473, USA",40.8210968,-73.88112679999999
Bronx High School for the Visual Arts,"2040 Antin Pl, The Bronx, NY 10462, USA",40.8517465,-73.8645056
Bronx Leadership Academy High School,"1710 Webster Ave, The Bronx, NY 10457, USA",40.8434287,-73.90310939999999
Bronx Regional High School,"1010 Rev James A Polite Ave, The Bronx, NY 10459, USA",40.82349,-73.8985308
Bronx Studio School for Writers and Artists,"928 Simpson St, The Bronx, NY 10459, USA",40.8203827,-73.8930381
Brooklyn Arbor Elementary School,"325 S 3rd St, Brooklyn, NY 11211, USA",40.7098922,-73.9547643
Brooklyn College Academy - Bridge to Brooklyn,"350 Coney Island Ave, Brooklyn, NY 11218, USA",40.6492022,-73.9718961
Brooklyn Landmark Elementary School,"251 MacDougal St, Brooklyn, NY 11233, USA",40.680537,-73.910772
Central Park East High School,"1573 Madison Ave, New York, NY 10029, USA",40.7936872,-73.9486109
Cobble Hill School of American Studies,"347 Baltic St, Brooklyn, NY 11201, USA",40.6848933,-73.99085869999999
College Point Collaborative,"124-06 14th Ave, Flushing, NY 11356, USA",40.7851012,-73.84352009999999
Collegiate Institute for Math and Science,"925 Astor Ave, The Bronx, NY 10469, USA",40.8602833,-73.8603759
Community Health Academy of the Heights,"504 W 158th St, New York, NY 10032, USA",40.8336419,-73.9422627
Community Voices Middle School,"145-00 Springfield Blvd, Springfield Gardens, NY 11413, USA",40.6649723,-73.7591145
Crotona International High School,"2474 Crotona Ave, The Bronx, NY 10458, USA",40.8554112,-73.8824863
Curtis High School,"105 Hamilton Ave, Staten Island, NY 10301, USA",40.645186,-74.0816561
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,"605 Shepherd Ave, Brooklyn, NY 11208, USA",40.6694182,-73.8792113
Eagle Academy for Young Men,"4143 3rd Ave, The Bronx, NY 10457, USA",40.845289,-73.8972161
East Flatbush Community Research School,"905 Winthrop St, Brooklyn, NY 11203, USA",40.6586846,-73.9286824
"Elementary School for Math, Science, and Technology","125 E 181st St, The Bronx, NY 10453, USA",40.8550502,-73.90323529999999
Evergreen M.S. for Urban Exploration,"125 Covert St, Brooklyn, NY 11207, USA",40.6889301,-73.91035459999999
Eximius College Preparatory Academy: A College Board School,"1363 Fulton Ave, The Bronx, NY 10456, USA",40.8339721,-73.9027472
Expeditionary Learning School for Community Leaders,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5937576,-73.9863546
Fairmont Neighborhood School,"1550 Vyse Ave, The Bronx, NY 10460, USA",40.8342454,-73.8870953
Fannie Lou Hamer Freedom High School,"1021 Jennings St, The Bronx, NY 10460, USA",40.8310478,-73.88560199999999
Fort Hamilton High School,"8301 Shore Rd, Brooklyn, NY 11209, USA",40.6272269,-74.03937599999999
Franklin Delano Roosevelt High School,"5800 20th Ave, Brooklyn, NY 11204, USA",40.6213242,-73.9825025
Frederick Douglass Academy,"2581 Adam Clayton Powell Jr Blvd, New York, NY 10001, USA",40.8243981,-73.936545
GRANT AVENUE ELEMENTARY SCHOOL,"250 E 164th St, The Bronx, NY 10456, USA",40.8280778,-73.91751959999999
Goldie Maple Academy,"3-65 Beach 56th St, Far Rockaway, NY 11692, USA",40.59398700000001,-73.786652
"Gregory Jocko Jackson School of Sports, Art and Technology (The)","213 Osborn St, Brooklyn, NY 11212, USA",40.6669333,-73.9075529
Harlem Renaissance High School,"22 E 128th St, New York, NY 10035, USA",40.80780439999999,-73.9399775
Harry S Truman High School,"750 Baychester Ave, The Bronx, NY 10475, USA",40.8742194,-73.83309349999999
High School for Environmental Studies,"444 W 56th St, New York, NY 10019, USA",40.7677451,-73.98809920000001
"High School for Law, Advocacy and Community Justice","122 Amsterdam Ave, New York, NY 10023, USA",40.7748463,-73.9856659
High School for Public Service: Heroes of Tomorrow,"600 Kingston Ave, Brooklyn, NY 11203, USA",40.6593652,-73.9431462
High School of World Cultures,"1300 Boynton Ave, The Bronx, NY 10472, USA",40.8321027,-73.87844580000001
Hillcrest High School,"160-05 Highland Ave, Jamaica, NY 11432, USA",40.7095227,-73.80247159999999
I.S. 024 Myra S. Barnes,"750 Durant Ave, Staten Island, NY 10306, USA",40.5456218,-74.1469546
I.S. 027 Anning S. Prall,"11 Clove Lake Pl, Staten Island, NY 10310, USA",40.6283442,-74.1177197
I.S. 059 Springfield Gardens,"132-55 Ridgedale St, St. Albans, NY 11413, USA",40.6813928,-73.7532099
I.S. 061 Leonardo Da Vinci,"98-50 50th Ave, Corona, NY 11368, USA",40.7419036,-73.862771
I.S. 068 Isaac Bildersee,"956 E 82nd St, Brooklyn, NY 11236, USA",40.6348776,-73.9107221
I.S. 072 Rocco Laurie,"33 Ferndale Ave, Staten Island, NY 10314, USA",40.5924704,-74.15853249999999
I.S. 093 Ridgewood,"66-56 Forest Ave, Ridgewood, NY 11385, USA",40.705751,-73.9029908
I.S. 117 Joseph H. Wade,"1865 Morris Ave, The Bronx, NY 10460, USA",40.8485793,-73.90874579999999
I.S. 125 Thom J. McCann Woodside,"46-02 47th Ave, Woodside, NY 11377, USA",40.7408445,-73.91867409999999
I.S. 136 Charles O. Dewey,"4004 4th Ave, Brooklyn, NY 11232, USA",40.6519928,-74.0072938
I.S. 141 The Steinway,"37-11 21st Ave, Long Island City, NY 11105, USA",40.7756029,-73.9045733
I.S. 171 Abraham Lincoln,"528 Ridgewood Ave, Brooklyn, NY 11208, USA",40.6858609,-73.8693804
I.S. 211 John Wilson,"1001 East 100th Street, Brooklyn, NY 11236, USA",40.6432708,-73.8958401
I.S. 219 New Venture School,"3630 3rd Ave, The Bronx, NY 10456, USA",40.8338446,-73.9039243
I.S. 228 David A. Boody,"228 Avenue S, Brooklyn, NY 11223, USA",40.6006781,-73.9770341
I.S. 229 Roland Patterson,"275 Harlem River Park Bridge, The Bronx, NY 10453, USA",40.8528519,-73.92103209999999
I.S. 237,"46-21 Colden St, Flushing, NY 11355, USA",40.749226,-73.82123109999999
I.S. 238 - Susan B. Anthony Academy,"88-15 182nd St, Queens, NY 11423, USA",40.712772,-73.7801733
I.S. 281 Joseph B Cavallaro,"8787 24th Ave, Brooklyn, NY 11214, USA",40.594251,-73.99392999999999
I.S. 285 Meyer Levin,"5909 Beverley Rd, Brooklyn, NY 11203, USA",40.6473935,-73.9206887
I.S. 30 Mary White Ovington,"7002 4th Ave, Brooklyn, NY 11209, USA",40.6335649,-74.0242775
I.S. 303 Herbert S. Eisenberg,"501 West Ave, Brooklyn, NY 11224, USA",40.58263640000001,-73.9720753
I.S. 318 Eugenio Maria De Hostos,"101 Walton St, Brooklyn, NY 11206, USA",40.7031073,-73.94833539999999
I.S. 340,"227 Sterling Pl, Brooklyn, NY 11238, USA",40.6762559,-73.9697873
I.S. 347 School of Humanities,"35 Starr St, Brooklyn, NY 11221, USA",40.7012793,-73.9276237
I.S. 49 Berta A. Dreyfus,"101 Warren St, Staten Island, NY 10304, USA",40.6206375,-74.0809565
I.S. 528 Bea Fuller Rodgers School,"180 Wadsworth Ave, New York, NY 10033, USA",40.8506712,-73.9346503
I.S. 98 Bay Academy,"1401 Emmons Ave, Brooklyn, NY 11235, USA",40.5838219,-73.9542591
I.S. R002 George L. Egbert,"333 Midland Ave, Staten Island, NY 10306, USA",40.5772352,-74.10041269999999
International HS at Lafayette,"2630 Benson Ave, Brooklyn, NY 11214, USA",40.5937576,-73.9863546
International School for Liberal Arts,"2780 Reservoir Ave, The Bronx, NY 10468, USA",40.8704171,-73.8969711
Irwin Altman Middle School 172,"81-14 257th St, Glen Oaks, NY 11004, USA",40.7417047,-73.7133066
J.H.S. 008 Richard S. Grossley,"108-35 167th St, Jamaica, NY 11433, USA",40.697147,-73.7864872
J.H.S. 050 John D. Wells,"183 S 3rd St, Brooklyn, NY 11211, USA",40.7117745,-73.9596149
J.H.S. 052 Inwood,"650 Academy St, New York, NY 10034, USA",40.8659143,-73.925157
J.H.S. 054 Booker T. Washington,"103 W 107th St, New York, NY 10025, USA",40.8004677,-73.96266229999999
J.H.S. 057 Whitelaw Reid,"125 Stuyvesant Ave, Brooklyn, NY 11221, USA",40.6916202,-73.9332768
J.H.S. 062 Ditmas,"700 Cortelyou Rd, Brooklyn, NY 11218, USA",40.6382359,-73.97151889999999
J.H.S. 078 Roy H. Mann,"1420 E 68 St, Brooklyn, NY 11234, USA",40.6208332,-73.9131104
J.H.S. 098 Herman Ridder,"1619 Boston Rd, The Bronx, NY 10460, USA",40.8363157,-73.8907414
J.H.S. 104 Simon Baruch,"330 E 21st St, New York, NY 10010, USA",40.7358068,-73.9805744
J.H.S. 123 James M. Kieran,"1025 Morrison Ave, The Bronx, NY 10472, USA",40.8249888,-73.87390479999999
J.H.S. 127 The Castle Hill,"1560 Purdy St, The Bronx, NY 10462, USA",40.8384278,-73.8529844
J.H.S. 131 Albert Einstein,"885 Bolton Ave, The Bronx, NY 10473, USA",40.8232367,-73.85985509999999
J.H.S. 143 Eleanor Roosevelt,"511 W 182nd St, New York, NY 10033, USA",40.8490987,-73.9311063
J.H.S. 144 Michelangelo,"2545 Gunther Ave, The Bronx, NY 10469, USA",40.864189,-73.8365765
J.H.S. 189 Daniel Carter Beard,"144-80 Barclay Ave, Flushing, NY 11355, USA",40.7603435,-73.81790869999999
J.H.S. 201 The Dyker Heights,"8010 12th Ave, Brooklyn, NY 11228, USA",40.6186835,-74.0131655
J.H.S. 202 Robert H. Goddard,"138-30 Lafayette St, Ozone Park, NY 11417, USA",40.671035,-73.8456739
J.H.S. 210 Elizabeth Blackwell,"93-11 101st Ave, Jamaica, NY 11416, USA",40.684802,-73.8475694
J.H.S. 218 James P. Sinnott,"370 Fountain Ave, Brooklyn, NY 11208, USA",40.6698815,-73.87434189999999
J.H.S. 220 John J. Pershing,"4812 9th Ave, Brooklyn, NY 11220, USA",40.6407804,-74.0009541
J.H.S. 227 Edward B. Shallow,"6500 16th Ave, Brooklyn, NY 11204, USA",40.6218446,-73.9955288
J.H.S. 234 Arthur W. Cunningham,"1875 E 17th St, Brooklyn, NY 11229, USA",40.6045068,-73.9552235
J.H.S. 259 William Mckinley,"7305 Fort Hamilton Pkwy, Brooklyn, NY 11228, USA",40.6264814,-74.0149914
J.H.S. 278 Marine Park,"1925 Stuart St, Brooklyn, NY 11229, USA",40.6066501,-73.938462
J.H.S. 291 Roland Hayes,"231 Palmetto St, Brooklyn, NY 11221, USA",40.6957854,-73.915361
J.H.S. 292 Margaret S. Douglas,"301 Vermont St, Brooklyn, NY 11207, USA",40.6716865,-73.89333669999999
James Madison High School,"3787 Bedford Ave, Brooklyn, NY 11229, USA",40.6099056,-73.9482591
James Weldon Johnson,"176 E 115th St, New York, NY 10029, USA",40.7972688,-73.9412633
John Dewey High School,"50 Avenue X, Brooklyn, NY 11223, USA",40.5877456,-73.9813501
Jonas Bronck Academy,"400 E Fordham Rd, The Bronx, NY 10458, USA",40.8609222,-73.89195579999999
Life Sciences Secondary School,"320 E 96th St, New York, NY 10128, USA",40.7832167,-73.9460393
Locke School of Arts and Engineering (The),"20 W 112th St, New York, NY 10026, USA",40.7984949,-73.9498493
M.S. 061 Dr. Gladstone H. Atwell,"400 Empire Blvd, Brooklyn, NY 11225, USA",40.6637691,-73.948565
M.S. 113 Ronald Edmonds Learning Center,"300 Adelphi St, Brooklyn, NY 11205, USA",40.6885037,-73.9713999
M.S. 131,"100 Hester St, New York, NY 10002, USA",40.7161943,-73.9933849
M.S. 137 America's School of Heroes,"109-15 98th St, Jamaica, NY 11417, USA",40.6780703,-73.8396521
M.S. 158 Marie Curie,"46-35 Oceania St, Bayside, NY 11361, USA",40.7562328,-73.7723312
M.S. 180 Dr. Daniel Hale Williams,"700 Baychester Ave, The Bronx, NY 10475, USA",40.8732041,-73.8321785
